iter	Passed	Remaining
850	3487	3069
851	3492	3066
852	3496	3062
853	3500	3058
854	3504	3053
855	3508	3049
856	3512	3045
857	3517	3041
858	3521	3037
859	3525	3033
860	3529	3029
861	3533	3024
862	3537	3020
863	3541	3016
864	3545	3012
865	3549	3008
866	3554	3004
867	3558	3000
868	3562	2996
869	3566	2992
870	3570	2988
871	3574	2984
872	3578	2980
873	3582	2976
874	3586	2972
875	3591	2967
876	3594	2963
877	3598	2959
878	3602	2955
879	3607	2951
880	3611	2947
881	3615	2943
882	3619	2939
883	3623	2935
884	3627	2930
885	3633	2928
886	3640	2926
887	3645	2922
888	3649	2918
889	3653	2914
890	3658	2910
891	3662	2906
892	3666	2902
893	3670	2898
894	3674	2894
895	3678	2890
896	3683	2886
897	3688	2883
898	3692	2878
899	3696	2874
900	3700	2870
901	3704	2866
902	3708	2862
903	3712	2858
904	3716	2854
905	3720	2849
906	3724	2845
907	3728	2841
908	3733	2838
909	3737	2833
910	3742	2830
911	3746	2826
912	3750	2821
913	3754	2817
914	3758	2813
915	3762	2809
916	3766	2805
917	3770	2801
918	3774	2797
919	3778	2792
920	3782	2788
921	3787	2784
922	3791	2780
923	3795	2776
924	3799	2772
925	3803	2768
926	3807	2764
927	3811	2759
928	3815	2755
929	3819	2751
930	3822	2747
931	3827	2742
932	3830	2738
933	3835	2734
934	3838	2730
935	3843	2726
936	3847	2722
937	3851	2717
938	3854	2713
939	3858	2709
940	3862	2705
941	3866	2701
942	3870	2696
943	3876	2693
944	3880	2689
945	3884	2685
946	3888	2681
947	3892	2677
948	3896	2672
949	3900	2668
950	3904	2664
951	3908	2660
952	3916	2658
953	3920	2654
954	3924	2650
955	3929	2647
956	3933	2643
957	3937	2638
958	3942	2634
959	3946	2631
960	3950	2627
961	3954	2622
962	3958	2618
963	3962	2614
964	3966	2610
965	3970	2606
966	3975	2602
967	3978	2597
968	3983	2593
969	3987	2589
970	3991	2585
971	3995	2581
972	3999	2577
973	4003	2573
974	4007	2569
975	4011	2564
976	4015	2560
977	4020	2556
978	4024	2552
979	4028	2548
980	4032	2544
981	4036	2540
982	4040	2536
983	4044	2531
984	4048	2527
985	4052	2523
986	4056	2519
987	4060	2515
988	4064	2511
989	4070	2508
990	4077	2505
991	4081	2501
992	4085	2497
993	4089	2492
994	4093	2488
995	4097	2484
996	4101	2480
997	4105	2476
998	4109	2472
999	4113	2468
1000	4117	2463
1001	4121	2459
1002	4125	2455
1003	4129	2451
1004	4133	2447
1005	4137	2443
1006	4141	2438
1007	4145	2434
1008	4149	2430
1009	4153	2426
1010	4157	2422
1011	4161	2418
1012	4166	2414
1013	4170	2409
1014	4174	2405
1015	4178	2401
1016	4182	2397
1017	4186	2393
1018	4190	2389
1019	4199	2388
1020	4205	2384
1021	4209	2380
1022	4213	2376
1023	4218	2372
1024	4223	2369
1025	4227	2364
1026	4231	2360
1027	4235	2356
1028	4239	2352
1029	4243	2348
1030	4247	2344
1031	4251	2340
1032	4256	2336
1033	4260	2331
1034	4265	2328
1035	4269	2324
1036	4273	2320
1037	4277	2316
1038	4281	2311
1039	4285	2307
1040	4289	2303
1041	4294	2299
1042	4298	2295
1043	4302	2291
1044	4307	2287
1045	4311	2283
1046	4315	2279
1047	4319	2275
1048	4323	2271
1049	4327	2266
1050	4331	2262
1051	4335	2258
1052	4340	2254
1053	4344	2250
1054	4348	2246
1055	4352	2242
1056	4356	2238
1057	4360	2233
1058	4364	2229
1059	4368	2225
1060	4372	2221
1061	4377	2217
1062	4381	2213
1063	4385	2209
1064	4389	2205
1065	4393	2200
1066	4397	2196
1067	4401	2192
1068	4405	2188
1069	4409	2184
1070	4413	2179
